接口标识,接口名称,接口地址,接口请求方式,接口参数
indexUsingGET,index,https://service.bccastle.com/is/index,get,[]
logoutUsingPOST,logout,https://service.bccastle.com/is/logout,post,[]
uploadUserDateUsingPOST,uploadUserDate,https://service.bccastle.com/is/uploadUserDate,post,['companyId']
statusAppsFalseUsingPOST,不同意申请,https://service.bccastle.com/is/updateTypeFalse,post,"['userApps', 'commentContent', 'loginName']"
getSysRoleUsingPOST,查看角色信息,https://service.bccastle.com/is/sysrole/role/queryRole,post,['roleid']
queryLoginNameUsingPOST,查看是登录名是否存在,https://service.bccastle.com/is/queryLoginName,post,"['mobile', 'mail', 'loginName']"
getSysPowerUsingPOST,查看资源权限信息,https://service.bccastle.com/is/syspower/power/queryPower,post,['powerid']
findClassificationUsingGET,查询所有应用类型,https://service.bccastle.com/is/classification/findClassificationList,get,[]
userMessageUsingPOST,查询用户,https://service.bccastle.com/is/userMessage,post,['uid']
queryRoleUsingPOST,查找角色名是否存在,https://service.bccastle.com/is/sysrole/role/queryRoleName,post,"['roleName', 'uid']"
queryPowerUsingGET,查找用户已有的菜单权限,https://service.bccastle.com/is/queryPowerList,get,['uid']
selectPowerUrlByUseridUsingGET,查找用户已有的菜单权限 的url列表,https://service.bccastle.com/is/selectPowerUrlByUserid,get,['uid']
querySameSubmitUsingPOST,查找重新实名认证时提交的是否和之前相同,https://service.bccastle.com/is/querySameSubmit,post,"['name', 'certificateNo', 'certificatePic']"
getOrderListUsingPOST,订单查询及列表展示接口,https://service.bccastle.com/is/getOrderList,post,"['accountNumber', 'appId', 'appNumber', 'appSalesModel', 'consumeCompanyId', 'consumeUserId', 'createTime', 'function', 'gtTime', 'id', 'lsTime', 'name', 'openDate', 'openStatus', 'orderNum', 'originPrice', 'payNumber', 'payTime', 'payments', 'periodNumber', 'periodType', 'price', 'priceId', 'serviceCompanyId', 'serviceCompanyName', 'settlement', 'status', 'sum', 'type', 'typeName', 'time', 'creatTime', 'page']"
updateOrderByOpenUsingPOST,订单开通权限,https://service.bccastle.com/is/updateOrderStatus,post,"['orderId', 'uid']"
uploadSorgDateUsingPOST,返回机构下载的路径地址,https://service.bccastle.com/is/uploadSorgDate,post,['companyId']
empowerAppUsingPOST,分配应用,https://service.bccastle.com/is/empowerApp,post,"['uid', 'entityIds']"
