接口标识,接口名称,接口地址,接口请求方式,接口参数
querySupportPeopleUsingPOST,查询服务商支持人,https://service.bccastle.com/dev/SupportPeopleController/querySupportPeople,post,"['serviceCompanyId', 'serviceSupportId', 'supportMail', 'supportName', 'supportNum', 'supportPhone', 'supportPosition', 'supportType']"
savaSupportPeopleUsingPOST,服务商支持人修改时接口,https://service.bccastle.com/dev/SupportPeopleController/savaSupportPeople,post,['jsonList']
addAgreementUsingPOST,授权协议添加,https://service.bccastle.com/dev/addAgreement,post,['jsonList']
addCasesUsingPOST,添加成功案例,https://service.bccastle.com/dev/addCases,post,['jsonList']
addProductUsingPOST,产品添加接口,https://service.bccastle.com/dev/addProduct,post,"['appSalesModel', 'appType', 'appkey', 'appsecret', 'authMethodIds', 'avatar', 'chainCodes', 'commentContent', 'companyId', 'createTime', 'createUser', 'description', 'enabled', 'entityDescriptorContent', 'entityId', 'feature', 'guide', 'idpEntityId', 'isAuthenticationIntegrated', 'mode', 'operationSystem', 'securityLevel', 'spCode', 'status', 'storeType', 'type', 'typeName', 'ud', 'updatetime', 'url', 'userGroup', 'versions', 'documentList', 'describe', 'standardList', 'appSalesModel']"
addCommentUsingPOST,添加审核意见,https://service.bccastle.com/dev/comment/addComment,post,"['commentContent', 'commentId', 'commentType', 'createTime', 'createUser', 'dataId', 'operation']"
addAppUsingPOST,产品注册,https://service.bccastle.com/dev/devApp/addApp,post,"['appSalesModel', 'appType', 'appkey', 'appsecret', 'authMethodIds', 'avatar', 'chainCodes', 'commentContent', 'companyId', 'createTime', 'createUser', 'description', 'enabled', 'entityDescriptorContent', 'entityId', 'feature', 'guide', 'idpEntityId', 'isAuthenticationIntegrated', 'mode', 'operationSystem', 'securityLevel', 'spCode', 'status', 'storeType', 'type', 'typeName', 'ud', 'updatetime', 'url', 'userGroup', 'versions']"
dowlandXmlUsingGET,下载sp-xml,https://service.bccastle.com/dev/devApp/dowlandXml,get,"['entityId', 'url']"
downAppsUsingPOST,应用申请下架,https://service.bccastle.com/dev/devApp/downApps,post,['entityId']
dowUsingGET,下载证书,https://service.bccastle.com/dev/devApp/downlandFile,get,[]
findAppUsingPOST,查询应用详情,https://service.bccastle.com/dev/devApp/findApp,post,['entityId']
findByEntityIdUsingPOST,查询产品详情,https://service.bccastle.com/dev/devApp/findByEntityId,post,['appId']
findIdpListUsingPOST,获取idp列表,https://service.bccastle.com/dev/devApp/findIdpList,post,[]
findServiceCompanyUsingPOST,获取公司信息列表,https://service.bccastle.com/dev/devApp/findServiceCompany,post,[]
joinUpAppsUsingPOST,应用申请接入,https://service.bccastle.com/dev/devApp/joinUpApps,post,['entityId']
modifyAppUsingPOST,修改应用,https://service.bccastle.com/dev/devApp/modifyApp,post,"['appSalesModel', 'appType', 'appkey', 'appsecret', 'authMethodIds', 'avatar', 'chainCodes', 'commentContent', 'companyId', 'createTime', 'createUser', 'description', 'enabled', 'entityDescriptorContent', 'entityId', 'feature', 'guide', 'idpEntityId', 'isAuthenticationIntegrated', 'mode', 'operationSystem', 'securityLevel', 'spCode', 'status', 'storeType', 'type', 'typeName', 'ud', 'updatetime', 'url', 'userGroup', 'versions']"
searchUsingPOST,分页查询应用,https://service.bccastle.com/dev/devApp/search,post,"['spCode', 'createTime', 'createUser', 'status', 'page', 'companyId']"
upAppsUsingPOST,应用申请上架,https://service.bccastle.com/dev/devApp/upApps,post,['entityId']
getCitiesByProvinceUsingGET,根据省查询市列表,https://service.bccastle.com/dev/devCompany/getCity,get,['provinceId']
getProvinceInfoUsingGET,查询省列表,https://service.bccastle.com/dev/devCompany/getProvince,get,[]
getCompanyUsingGET,查看企业信息,https://service.bccastle.com/dev/devCompany/getServiceCompany,get,['uid']
