接口标识,接口名称,接口地址,接口请求方式,接口参数
approvalCompanyMiddleUsingPOST,服务商中间表审批,https://service.bccastle.com/om/CompanyMiddleController/approvalCompanyMiddle,post,"['companyId', 'status']"
queryMiddleCompanyUsingPOST,分页查询服务商中间表,https://service.bccastle.com/om/CompanyMiddleController/queryMiddleCompany,post,"['address', 'bankCode', 'bankCompanyName', 'bankCompanyNum', 'certificateauthority', 'certificatename', 'certificateno', 'certificatepic', 'city', 'companyMail', 'companyPhone', 'companyid', 'companytype', 'createuser', 'deleteuser', 'description', 'developernum', 'employeesnum', 'ename', 'idsSysComment', 'issuingauthority', 'legalperson', 'limiteperiod', 'logo', 'name', 'province', 'pwdPolicyId', 'range', 'regaddress', 'registeredcode', 'registereddate', 'registeredfunds', 'registeredtype', 'status', 'validperiod', 'website', 'page']"
PageInfoPwdPolicyUsingPOST,分页查询密码策略,https://service.bccastle.com/om/PageInfoPwdPolicy,post,['p']
addUsingPOST_4,添加应用,https://service.bccastle.com/om/add,post,"['loginName', 'appSalesModel', 'appkey', 'appsecret', 'authMethodIds', 'avatar', 'chainCodes', 'companyId', 'companyName', 'createTime', 'description', 'enabled', 'entityDescriptorContent', 'entityId', 'feature', 'guide', 'idpEntityId', 'isAuthenticationIntegrated', 'mode', 'operationSystem', 'priceRatio', 'securityLevel', 'spCode', 'spUrl', 'status', 'storeType', 'type', 'typeName', 'ud', 'userGroup', 'versions']"
addPwdPolicyUsingPOST,添加密码策略,https://service.bccastle.com/om/addPwdPolicy,post,"['createBy', 'isEnable', 'isLongTerm', 'lowerCount', 'maxLength', 'minLength', 'numberCount', 'pwdPolicyDesc', 'pwdPolicyId', 'pwdPolicyName', 'specialCount', 'updateBy', 'upperCount']"
applicationManagementPageListUsingPOST,获取应用分页信息,https://service.bccastle.com/om/applicationManagementList,post,"['appSalesModel', 'appkey', 'appsecret', 'authMethodIds', 'avatar', 'chainCodes', 'companyId', 'companyName', 'createTime', 'description', 'enabled', 'entityDescriptorContent', 'entityId', 'feature', 'guide', 'idpEntityId', 'isAuthenticationIntegrated', 'mode', 'operationSystem', 'priceRatio', 'securityLevel', 'spCode', 'spUrl', 'status', 'storeType', 'type', 'typeName', 'ud', 'userGroup', 'versions', 'p']"
approveAppsUsingPOST,应用审批通过,https://service.bccastle.com/om/approveApps,post,['entityId']
addUsingPOST,添加企业,https://service.bccastle.com/om/company/addCompany,post,"['address', 'certificateAuthority', 'certificateName', 'certificateNo', 'certificatePic', 'city', 'companyId', 'companyType', 'createUser', 'deleteTime', 'deleteUser', 'description', 'developerNum', 'eName', 'employeesNum', 'ename', 'idsSysComment', 'issuingAuthority', 'lastModify', 'legalPerson', 'limitePeriod', 'logo', 'name', 'province', 'pwdPolicyId', 'range', 'regAddress', 'registeredCode', 'registeredDate', 'registeredFunds', 'registeredType', 'status', 'updateTimeUser', 'validPeriod', 'website']"
deleteUsingPOST,删除企业,https://service.bccastle.com/om/company/delete,post,['companyIds']
exportCompanyDateUsingGET,公司-导出,https://service.bccastle.com/om/company/download/exportCompanyDate,get,"['companyName', 'name', 'status']"
exportUserDateUsingGET,企业管理员-导出,https://service.bccastle.com/om/company/download/exportUserDate,get,"['username', 'userCompanyName', 'mobile', 'accValidCode']"
getUsingGET,查询企业信息,https://service.bccastle.com/om/company/get,get,['companyId']
getCitiesByProvinceUsingGET,根据省查询市列表,https://service.bccastle.com/om/company/getCity,get,['provinceId']
getCompanyByIdUsingGET,根据企业ID查询企业信息,https://service.bccastle.com/om/company/getCompanyById,get,['companyId']
ajaxCompanyListUsingGET,分页查询企业信息,https://service.bccastle.com/om/company/getCompanyList,get,"['name', 'createTime', 'regAddress', 'status', 'page']"
getProvinceInfoUsingGET,查询省列表,https://service.bccastle.com/om/company/getProvince,get,[]
getSimpleCompanyUsingGET,查询企业基本信息,https://service.bccastle.com/om/company/getSimpleCompany,get,[]
importCompanyUsingPOST,公司导入,https://service.bccastle.com/om/company/importCompany,post,"['fileZip', 'loginName']"
importServiceUserDateUsingPOST,服务商用户-导入,https://service.bccastle.com/om/company/importServiceUserDate,post,['file']
importUserDateUsingPOST,企业用户-导入,https://service.bccastle.com/om/company/importUserDate,post,['file']
queryCodeNameUsingPOST,查询所对应的所属行业,https://service.bccastle.com/om/company/queryCodeName,post,['typeValueCode']
queryListUsingPOST,根据类型code查询数据字典列表,https://service.bccastle.com/om/company/queryList,post,['typeCode']
saveCommentUsingPOST,添加审核意见,https://service.bccastle.com/om/company/saveComment,post,"['commentType', 'dataId', 'operation', 'commentContent', 'createUser']"
searchUsingPOST,按条件分页查询企业信息,https://service.bccastle.com/om/company/search,post,"['name', 'createTime', 'regAddress', 'status', 'page']"
sendSmsUsingPOST,企业管理员重置密码发送短息,https://service.bccastle.com/om/company/sendSms,post,"['uid', 'resetWay', 'getWay', 'password']"
updateUsingPOST,更新企业信息,https://service.bccastle.com/om/company/update,post,"['address', 'certificateAuthority', 'certificateName', 'certificateNo', 'certificatePic', 'city', 'companyId', 'companyType', 'createUser', 'deleteTime', 'deleteUser', 'description', 'developerNum', 'eName', 'employeesNum', 'ename', 'idsSysComment', 'issuingAuthority', 'lastModify', 'legalPerson', 'limitePeriod', 'logo', 'name', 'province', 'pwdPolicyId', 'range', 'regAddress', 'registeredCode', 'registeredDate', 'registeredFunds', 'registeredType', 'status', 'updateTimeUser', 'validPeriod', 'website']"
