接口标识,接口名称,接口地址,接口请求方式,接口参数
addAppsApplyUsingPOST,申请应用,https://service.bccastle.com/id/addAppsApply,post,"['entityId', 'uid']"
handleErrorUsingPOST,handleError,https://service.bccastle.com/id/error,post,[]
getUnSelAppsListUsingGET,获取可申请的应用列表,https://service.bccastle.com/id/getUnSelAppsList,get,"['spCode', 'page', 'uid']"
getUserListUsingGET,已经申请的应用列表,https://service.bccastle.com/id/getUserAppsList,get,"['spCode', 'spUrl', 'createTime', 'applyStatus', 'page', 'uid']"
indexUsingGET,index,https://service.bccastle.com/id/index,get,[]
deleteUserAppUsingGET,删除某个应用,https://service.bccastle.com/id/index/deleteUserApps,get,"['appId', 'uid']"
searchUserAppsUsingPOST,查找用户已申请可使用的应用,https://service.bccastle.com/id/index/searchUserApps,post,['uid']
logoutUsingGET,logout,https://service.bccastle.com/id/logout,get,[]
messageUsingGET,message,https://service.bccastle.com/id/message,get,[]
infoUsingPOST,根据用户id查找密码,https://service.bccastle.com/id/password,post,['userId']
changePwdUsingPOST,修改密码,https://service.bccastle.com/id/password/change,post,"['oldPassword', 'newPassword', 'uid']"
infoUsingGET,查找用户信息,https://service.bccastle.com/id/userInfo,get,['token']
editUserUsingPOST,修改用户,https://service.bccastle.com/id/userInfo/update,post,"['consumeCompanyid', 'displayName', 'employeeNumber', 'loginName', 'mail', 'mobile', 'password', 'realNameStatus', 'secAccValid', 'serviceCompanyid', 'sorgId', 'spBirthday', 'spCountry', 'spGender', 'spIdentityNumber', 'spIdentityType', 'spNation', 'spOrgNamePath', 'title', 'uid']"
